"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"493","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:31:51,FALSE,NA,"1010515780612616193",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","petervalkema",79,TRUE,FALSE,NA,NA
"494","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:30:47,FALSE,NA,"1010515511761764352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chiba_cat",79,TRUE,FALSE,NA,NA
"495","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:30:05,FALSE,NA,"1010515338524528640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","speedofkarma",79,TRUE,FALSE,NA,NA
"496","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:27:29,FALSE,NA,"1010514684640944129",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OrdforandeJohan",79,TRUE,FALSE,NA,NA
"497","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:27:10,FALSE,NA,"1010514601094647809",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hartman_Jason",79,TRUE,FALSE,NA,NA
"498","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:26:05,FALSE,NA,"1010514331996340226",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeilaLstorvad",79,TRUE,FALSE,NA,NA
"499","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:24:12,FALSE,NA,"1010513857100636161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ToddPerlee",79,TRUE,FALSE,NA,NA
"500","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:24:08,FALSE,NA,"1010513839492861952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","atinadisima",79,TRUE,FALSE,NA,NA
"501","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:23:24,FALSE,NA,"1010513657019715589",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whiffen_rhona",79,TRUE,FALSE,NA,NA
"502","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:23:19,FALSE,NA,"1010513633598693378",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leilavenesi",79,TRUE,FALSE,NA,NA
